"datum","regija","stavba","namembnost","povrsina","leto_izgradnje","temp_zraka","temp_rosisca","oblacnost","padavine","pritisk","smer_vetra","hitrost_vetra","poraba"
"2016-01-01","zahodna",1,"javno_storitvena",4058.095943,2007,10.6,-4.4,0,0,1020.5,0,0,138.11
"2016-01-01","zahodna",3,"izobrazevalna",6698.492106,1970,10.6,-4.4,0,0,1020.5,0,0,78.51
"2016-01-01","zahodna",5,"stanovanjska",8019.665669,1956,10.6,-4.4,0,0,1020.5,0,0,62
"2016-01-01","zahodna",7,"izobrazevalna",16681.569777,2006,10.6,-4.4,0,0,1020.5,0,0,499.51
"2016-01-01","zahodna",9,"poslovna",11282.14032,1983,10.6,-4.4,0,0,1020.5,0,0,103.24
"2016-01-01","zahodna",11,"izobrazevalna",5782.096914,1970,10.6,-4.4,0,0,1020.5,0,0,25.21
"2016-01-01","zahodna",13,"izobrazevalna",13826.660587,2014,10.6,-4.4,0,0,1020.5,0,0,163.88
"2016-01-01","zahodna",15,"izobrazevalna",4106.591309,1950,10.6,-4.4,0,0,1020.5,0,0,8.37
"2016-01-01","zahodna",17,"izobrazevalna",695.007343,1969,10.6,-4.4,0,0,1020.5,0,0,4.81
"2016-01-01","zahodna",19,"izobrazevalna",7271.332004,1964,10.6,-4.4,0,0,1020.5,0,0,68.04
"2016-01-01","zahodna",21,"poslovna",576.277309,1999,10.6,-4.4,0,0,1020.5,0,0,3.66
"2016-01-01","zahodna",23,"poslovna",15232.282977,2004,10.6,-4.4,0,0,1020.5,0,0,156.11
"2016-01-01","zahodna",25,"izobrazevalna",20402.242024,1992,10.6,-4.4,0,0,1020.5,0,0,485.64
"2016-01-01","zahodna",27,"stanovanjska",5885.219244,2007,10.6,-4.4,0,0,1020.5,0,0,241.47
"2016-01-01","zahodna",29,"stanovanjska",5582.169658,2001,10.6,-4.4,0,0,1020.5,0,0,72.53
"2016-01-01","zahodna",31,"izobrazevalna",17957.592482,2006,10.6,-4.4,0,0,1020.5,0,0,932.59
"2016-01-01","zahodna",33,"izobrazevalna",30403.064168,2012,10.6,-4.4,0,0,1020.5,0,0,861.29
"2016-01-01","zahodna",35,"izobrazevalna",8479.535519,1951,10.6,-4.4,0,0,1020.5,0,0,110.15
"2016-01-01","zahodna",37,"izobrazevalna",12733.749695,1964,10.6,-4.4,0,0,1020.5,0,0,80.93
"2016-01-01","zahodna",39,"izobrazevalna",8930.207972,1959,10.6,-4.4,0,0,1020.5,0,0,163.49
"2016-01-01","zahodna",41,"izobrazevalna",18984.635147,1993,10.6,-4.4,0,0,1020.5,0,0,424.03
"2016-01-01","zahodna",43,"izobrazevalna",25295.443034,1955,10.6,-4.4,0,0,1020.5,0,0,398.08
"2016-01-01","zahodna",45,"poslovna",6891.54454,1930,10.6,-4.4,0,0,1020.5,0,0,29.41
"2016-01-01","zahodna",47,"stanovanjska",4562.280524,1951,10.6,-4.4,0,0,1020.5,0,0,28.79
"2016-01-01","zahodna",49,"kulturno_razvedrilna",2261.723535,1981,10.6,-4.4,0,0,1020.5,0,0,69.91
"2016-01-01","zahodna",51,"izobrazevalna",16645.151801,1971,10.6,-4.4,0,0,1020.5,0,0,62.08
"2016-01-01","zahodna",53,"kulturno_razvedrilna",13386.021658,1989,10.6,-4.4,0,0,1020.5,0,0,43.36
"2016-01-01","zahodna",55,"stanovanjska",9888.59532,1963,10.6,-4.4,0,0,1020.5,0,0,113.25
"2016-01-01","zahodna",57,"kulturno_razvedrilna",4830.863097,1974,10.6,-4.4,0,0,1020.5,0,0,38.21
"2016-01-01","zahodna",59,"izobrazevalna",5997.81768,1965,10.6,-4.4,0,0,1020.5,0,0,123.5
"2016-01-01","zahodna",61,"kulturno_razvedrilna",16671.350447,1976,10.6,-4.4,0,0,1020.5,0,0,355.7
"2016-01-01","zahodna",63,"izobrazevalna",6122.958021,1964,10.6,-4.4,0,0,1020.5,0,0,75.76
"2016-01-01","zahodna",65,"izobrazevalna",4559.493434,1914,10.6,-4.4,0,0,1020.5,0,0,23.78
"2016-01-01","zahodna",67,"kulturno_razvedrilna",1932.754012,1999,10.6,-4.4,0,0,1020.5,0,0,12.48
"2016-01-01","zahodna",69,"poslovna",7772.26498,1973,10.6,-4.4,0,0,1020.5,0,0,100.1
"2016-01-01","zahodna",71,"kulturno_razvedrilna",6706.946279,2013,10.6,-4.4,0,0,1020.5,0,0,87.84
"2016-01-01","zahodna",73,"poslovna",3921.807242,1985,10.6,-4.4,0,0,1020.5,0,0,13.27
"2016-01-01","zahodna",75,"poslovna",6580.969811,2014,10.6,-4.4,0,0,1020.5,0,0,131.49
"2016-01-01","zahodna",77,"izobrazevalna",4587.921752,1967,10.6,-4.4,0,0,1020.5,0,0,34.02
"2016-01-01","zahodna",79,"kulturno_razvedrilna",21391.751877,1975,10.6,-4.4,0,0,1020.5,0,0,181.14
"2016-01-01","zahodna",81,"poslovna",3132.038839,1956,10.6,-4.4,0,0,1020.5,0,0,23.22
"2016-01-01","zahodna",83,"kulturno_razvedrilna",898.000398,2005,10.6,-4.4,0,0,1020.5,0,0,16.04
"2016-01-02","zahodna",1,"javno_storitvena",4058.095943,2007,16.1,0,4,0,1021.3,70,7.7,134.45
"2016-01-02","zahodna",3,"izobrazevalna",6698.492106,1970,16.1,0,4,0,1021.3,70,7.7,95.48
"2016-01-02","zahodna",5,"stanovanjska",8019.665669,1956,16.1,0,4,0,1021.3,70,7.7,71.84
"2016-01-02","zahodna",7,"izobrazevalna",16681.569777,2006,16.1,0,4,0,1021.3,70,7.7,504.41
"2016-01-02","zahodna",9,"poslovna",11282.14032,1983,16.1,0,4,0,1021.3,70,7.7,103.58
"2016-01-02","zahodna",11,"izobrazevalna",5782.096914,1970,16.1,0,4,0,1021.3,70,7.7,33.53
"2016-01-02","zahodna",13,"izobrazevalna",13826.660587,2014,16.1,0,4,0,1021.3,70,7.7,138.76
"2016-01-02","zahodna",15,"izobrazevalna",4106.591309,1950,16.1,0,4,0,1021.3,70,7.7,5.05
"2016-01-02","zahodna",17,"izobrazevalna",695.007343,1969,16.1,0,4,0,1021.3,70,7.7,4.75
"2016-01-02","zahodna",19,"izobrazevalna",7271.332004,1964,16.1,0,4,0,1021.3,70,7.7,68.18
"2016-01-02","zahodna",21,"poslovna",576.277309,1999,16.1,0,4,0,1021.3,70,7.7,3.7
"2016-01-02","zahodna",23,"poslovna",15232.282977,2004,16.1,0,4,0,1021.3,70,7.7,155.81
"2016-01-02","zahodna",25,"izobrazevalna",20402.242024,1992,16.1,0,4,0,1021.3,70,7.7,498.1
"2016-01-02","zahodna",27,"stanovanjska",5885.219244,2007,16.1,0,4,0,1021.3,70,7.7,245.64
"2016-01-02","zahodna",29,"stanovanjska",5582.169658,2001,16.1,0,4,0,1021.3,70,7.7,74.03
"2016-01-02","zahodna",31,"izobrazevalna",17957.592482,2006,16.1,0,4,0,1021.3,70,7.7,930.42
"2016-01-02","zahodna",33,"izobrazevalna",30403.064168,2012,16.1,0,4,0,1021.3,70,7.7,844.42
"2016-01-02","zahodna",35,"izobrazevalna",8479.535519,1951,16.1,0,4,0,1021.3,70,7.7,183.75
"2016-01-02","zahodna",37,"izobrazevalna",12733.749695,1964,16.1,0,4,0,1021.3,70,7.7,149.6
"2016-01-02","zahodna",39,"izobrazevalna",8930.207972,1959,16.1,0,4,0,1021.3,70,7.7,157.9
"2016-01-02","zahodna",41,"izobrazevalna",18984.635147,1993,16.1,0,4,0,1021.3,70,7.7,417.78
"2016-01-02","zahodna",43,"izobrazevalna",25295.443034,1955,16.1,0,4,0,1021.3,70,7.7,440.7
"2016-01-02","zahodna",45,"poslovna",6891.54454,1930,16.1,0,4,0,1021.3,70,7.7,67.39
"2016-01-02","zahodna",47,"stanovanjska",4562.280524,1951,16.1,0,4,0,1021.3,70,7.7,26.61
"2016-01-02","zahodna",49,"kulturno_razvedrilna",2261.723535,1981,16.1,0,4,0,1021.3,70,7.7,68.53
"2016-01-02","zahodna",51,"izobrazevalna",16645.151801,1971,16.1,0,4,0,1021.3,70,7.7,60.84
"2016-01-02","zahodna",53,"kulturno_razvedrilna",13386.021658,1989,16.1,0,4,0,1021.3,70,7.7,63.89
"2016-01-02","zahodna",55,"stanovanjska",9888.59532,1963,16.1,0,4,0,1021.3,70,7.7,114.65
"2016-01-02","zahodna",57,"kulturno_razvedrilna",4830.863097,1974,16.1,0,4,0,1021.3,70,7.7,36.53
"2016-01-02","zahodna",59,"izobrazevalna",5997.81768,1965,16.1,0,4,0,1021.3,70,7.7,123.5
"2016-01-02","zahodna",61,"kulturno_razvedrilna",16671.350447,1976,16.1,0,4,0,1021.3,70,7.7,358.74
"2016-01-02","zahodna",63,"izobrazevalna",6122.958021,1964,16.1,0,4,0,1021.3,70,7.7,82.78
"2016-01-02","zahodna",65,"izobrazevalna",4559.493434,1914,16.1,0,4,0,1021.3,70,7.7,32.43
"2016-01-02","zahodna",67,"kulturno_razvedrilna",1932.754012,1999,16.1,0,4,0,1021.3,70,7.7,11.87
"2016-01-02","zahodna",69,"poslovna",7772.26498,1973,16.1,0,4,0,1021.3,70,7.7,96.66
"2016-01-02","zahodna",71,"kulturno_razvedrilna",6706.946279,2013,16.1,0,4,0,1021.3,70,7.7,97.98
"2016-01-02","zahodna",73,"poslovna",3921.807242,1985,16.1,0,4,0,1021.3,70,7.7,13.06
"2016-01-02","zahodna",75,"poslovna",6580.969811,2014,16.1,0,4,0,1021.3,70,7.7,142.01
"2016-01-02","zahodna",77,"izobrazevalna",4587.921752,1967,16.1,0,4,0,1021.3,70,7.7,35.94
"2016-01-02","zahodna",79,"kulturno_razvedrilna",21391.751877,1975,16.1,0,4,0,1021.3,70,7.7,309.44
"2016-01-02","zahodna",81,"poslovna",3132.038839,1956,16.1,0,4,0,1021.3,70,7.7,24.95
"2016-01-02","zahodna",83,"kulturno_razvedrilna",898.000398,2005,16.1,0,4,0,1021.3,70,7.7,18.8
"2016-01-03","zahodna",1,"javno_storitvena",4058.095943,2007,17.8,0,2,0,1018.8,90,7.2,134.67
"2016-01-03","zahodna",3,"izobrazevalna",6698.492106,1970,17.8,0,2,0,1018.8,90,7.2,94.54
"2016-01-03","zahodna",5,"stanovanjska",8019.665669,1956,17.8,0,2,0,1018.8,90,7.2,74.78
"2016-01-03","zahodna",7,"izobrazevalna",16681.569777,2006,17.8,0,2,0,1018.8,90,7.2,501.85
"2016-01-03","zahodna",9,"poslovna",11282.14032,1983,17.8,0,2,0,1018.8,90,7.2,102.78
"2016-01-03","zahodna",11,"izobrazevalna",5782.096914,1970,17.8,0,2,0,1018.8,90,7.2,33.71
"2016-01-03","zahodna",13,"izobrazevalna",13826.660587,2014,17.8,0,2,0,1018.8,90,7.2,141.58
"2016-01-03","zahodna",15,"izobrazevalna",4106.591309,1950,17.8,0,2,0,1018.8,90,7.2,15.18
"2016-01-03","zahodna",17,"izobrazevalna",695.007343,1969,17.8,0,2,0,1018.8,90,7.2,4.94
"2016-01-03","zahodna",19,"izobrazevalna",7271.332004,1964,17.8,0,2,0,1018.8,90,7.2,67.63
